id_station_itinerance;code_insee_commune;coordonneesXY;puissance_nominale;consolidated_longitude;consolidated_latitude;consolidated_commune;nbre_pdc
FRP07P64122002;64122;[-1.5594199895858765, 43.483299255371094];3.7;-1.5594199895858765;43.48329925537109;Biarritz;2
FRP07P64122001;64122;[-1.5571069717407227, 43.48529815673828];7.0;-1.5571069717407229;43.48529815673828;Biarritz;2
FRP07P95063001;95063;[2.2168831825256348, 48.92751693725586];7.0;2.2168831825256348;48.92751693725586;Bezons;18
FRP07P33063002;33800;[0.5548750162124634, 44.823455810546875];7.0;0.5548750162124634;44.82345581054688;;10
FRP07P92012001;92012;[2.2332370281219482, 48.82678985595703];7.0;2.233237028121948;48.82678985595703;Boulogne-Billancourt;6
FRP07P33063001;33800;[0.5550959706306458, 44.82374572753906];7.0;0.5550959706306458;44.82374572753906;;6
FRP07P47001004;47001;[0.6174060106277466, 44.20416259765625];3.7;0.6174060106277466;44.20416259765625;Agen;3
FRP07P33009001;33009;[-1.171409010887146, 44.661842346191406];7.0;-1.171409010887146;44.661842346191406;Arcachon;4
FRP07P80021001;80021;[2.25519061088562, 49.875762939453125];7.0;2.25519061088562;49.875762939453125;Amiens;4
FRP07P47001003;47001;[0.6154919862747192, 44.20408248901367];7.0;0.6154919862747192;44.20408248901367;Agen;3
FRP07P47001002;47001;[0.6233050227165222, 44.20777130126953];7.0;0.6233050227165222;44.20777130126953;Agen;6
FRP07P47001001;47001;[0.620523989200592, 44.2042350769043];3.7;0.620523989200592;44.2042350769043;Agen;2
FRP07P60057001;60057;[2.07926607131958, 49.430904388427734];7.0;2.07926607131958;49.43090438842773;Beauvais;2
FRP07P33009002;33009;[-1.165653944015503, 44.65935516357422];7.0;-1.165653944015503;44.65935516357422;Arcachon;2
FRP07P95018001;95018;[2.251199960708618, 48.94242477416992];7.0;2.251199960708618;48.94242477416992;Argenteuil;6
FRP07P06069002;6069;[6.925033092498779, 43.65900802612305];3.4;6.925033092498779;43.65900802612305;Grasse;2
FRP07P92040001;92040;[2.2737209796905518, 48.824485778808594];3.7;2.273720979690552;48.824485778808594;Issy-les-Moulineaux;2
FRP07P83069003;83069;[6.12841796875, 43.119083404541016];7.0;6.12841796875;43.119083404541016;Hyères;2
FRP07P83069001;83069;[6.132120132446289, 43.1208610534668];3.7;6.132120132446289;43.1208610534668;Hyères;2
FRP07P83069002;83069;[6.131402015686035, 43.11866760253906];7.0;6.131402015686035;43.11866760253906;Hyères;2
FRP07P92040002;92040;[2.2588179111480713, 48.825260162353516];7.0;2.2588179111480717;48.82526016235352;Issy-les-Moulineaux;4
FRP07P06069001;6069;[6.921300888061523, 43.65735626220703];7.0;6.921300888061523;43.65735626220703;Grasse;2
FRP07P95210001;95210;[2.308237314224243, 48.96952819824219];22.0;2.308237314224243;48.96952819824219;Enghien-les-Bains;4
FRP07P95210002;95210;[2.3034584522247314, 48.966949462890625];7.0;2.3034584522247314;48.96694946289063;Enghien-les-Bains;1
FRP07P76217002;76217;[1.0748740434646606, 49.92352294921875];7.0;1.0748740434646606;49.92352294921875;Dieppe;2
FRP07P76217001;76217;[1.0759799480438232, 49.923099517822266];3.7;1.0759799480438232;49.923099517822266;Dieppe;14
FRP07P92026003;92026;[2.2380449771881104, 48.89501190185547];3.7;2.2380449771881104;48.89501190185547;Courbevoie;10
FRP07P92035001;92035;[2.2460899353027344, 48.909793853759766];7.0;2.2460899353027344;48.909793853759766;La Garenne-Colombes;4
FRP07P77058001;77058;[2.7078099250793457, 48.83620071411133];7.0;2.7078099250793457;48.83620071411133;Bussy-Saint-Georges;5
FRP07P59122001;59122;[3.2255280017852783, 50.16519546508789];7.0;3.2255280017852783;50.16519546508789;Cambrai;6
FRP07P51108001;51108;[4.36091423034668, 48.957786560058594];7.0;4.36091423034668;48.957786560058594;Châlons-en-Champagne;4
FRP07P91122001;91122;[2.164252996444702, 48.697166442871094];7.0;2.164252996444702;48.69716644287109;Bures-sur-Yvette;2
FRP07P92012002;92012;[2.2366509437561035, 48.824623107910156];3.7;2.2366509437561035;48.82462310791016;Boulogne-Billancourt;4
FRP07P92012003;92012;[2.2417099475860596, 48.83140182495117];7.0;2.24170994758606;48.83140182495117;Boulogne-Billancourt;2
FRP07P60159001;60159;[2.824892044067383, 49.41842269897461];7.0;2.824892044067383;49.41842269897461;Compiègne;4
